observationURI,sequenceNumber,obsID,collection,observationID,algorithm_name,type,intent
b'caom:TESS/tess2019110135933-s0010-4-3-0140-s',10.0,b'00000000-0000-0000-9e27-22870cfcafbb',b'TESS',b'tess2019110135933-s0010-4-3-0140-s',b'exposure',b'',b'science'
b'caom:VLASS/VLASS1.2.T22t11.J101354+443000',,b'75b834ef-021c-4ebd-a03f-d11f54480bee',b'VLASS',b'VLASS1.2.T22t11.J101354+443000',b'exposure',b'OBJECT',b'science'
b'caom:TESS/tess2019085135100-s0010-0000000471013596-0140-s',10.0,b'00000000-0000-0000-8380-53375db2a6a5',b'TESS',b'tess2019085135100-s0010-0000000471013596-0140-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019112060037-s0011-0000000471013581-0143-s',11.0,b'00000000-0000-0000-b2bc-cdb176ffebc4',b'TESS',b'tess2019112060037-s0011-0000000471013581-0143-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019112060037-s0011-0000000350710135-0143-s',11.0,b'00000000-0000-0000-aad6-18ce3d44a5ed',b'TESS',b'tess2019112060037-s0011-0000000350710135-0143-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019112060037-s0011-0000000471013550-0143-s',11.0,b'00000000-0000-0000-a28e-e6e7658ddd49',b'TESS',b'tess2019112060037-s0011-0000000471013550-0143-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019112060037-s0011-0000000310135994-0143-s',11.0,b'00000000-0000-0000-9d89-00c420bb3f3b',b'TESS',b'tess2019112060037-s0011-0000000310135994-0143-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019112060037-s0011-0000000471013582-0143-s',11.0,b'00000000-0000-0000-a207-bc205bf09dcb',b'TESS',b'tess2019112060037-s0011-0000000471013582-0143-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019112060037-s0011-0000000471013513-0143-s',11.0,b'00000000-0000-0000-8d62-3d31e7082df9',b'TESS',b'tess2019112060037-s0011-0000000471013513-0143-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2018210135942-s0001-4-1-0120-s',1.0,b'00000000-0000-0000-9889-2e2793b3d7eb',b'TESS',b'tess2018210135942-s0001-4-1-0120-s',b'exposure',b'',b'science'
